"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"gjna";1;"LOGO";;;
2;"G***";"pkiiB";1;"LOGO";;;
3;"G***";"pkii";1;"LOGO";;;
4;"J4";"Batt_PHS_Hor_Long18mm";1;"Conn_01x03_Male";;;
5;"U2";"HOPERF_RFM69HW";1;"RFM69W";;;
6;"J3";"microSD_HC_Wuerth_693072010801";1;"Micro_SD_Card";;;
7;"J5,J6";"U.FL_Hirose_U.FL-R-SMT-1_Vertical";2;"Conn_Coaxial";;;
8;"J8";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Male";;;
9;"J7";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
10;"C7,C4,C1,C5,C6";"C_0805_2012Metric";5;"100nF";;;
11;"R1,R2";"R_0805_2012Metric";2;"10k";;;
12;"D4";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"D";;;
13;"C8,C10";"CP_Radial_D5.0mm_P2.00mm";2;"47uF";;;
14;"C9";"C_0805_2012Metric";1;"10nF";;;
15;"C2,C3";"C_0805_2012Metric";2;"15pF";;;
16;"C11";"C_0805_2012Metric";1;"4.7uF";;;
17;"D1,D2,D3";"LED_1206_3216Metric";3;"LED";;;
18;"IC1";"SON110P970X1010X230-18N";1;"TESEO-LIV3F";;;
19;"J1";"BME280";1;"BME280";;;
20;"R3,R4,R5";"R_0805_2012Metric";3;"R";;;
21;"R6";"R_0805_2012Metric";1;"100k";;;
22;"U1";"LQFP-64_10x10mm_P0.5mm";1;"STM32F411RETx";;;
23;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal";;;
24;"J2";"MPU-9250-4pin";1;"MPU-9250";;;
25;"SW1";"Sw_ESP2010";1;"SW_DIP_x01";;;
26;"U3";"SOT-23-5_HandSoldering";1;"LD3985M33R_SOT23";;;
